bus_id,lat,lon,region,n_substations,max_voltage_kv,load_weight
IT_00,44.62451599840828,8.70709688854622,Liguria,122,380.0,0.029561424763750913
IT_01,40.55914649159993,15.837813294677444,Basilicata,102,380.0,0.016476859704385755
IT_02,45.32854517478761,11.429547427836624,Veneto,172,380.0,0.05209595347710202
IT_03,43.40087538182211,13.206974632401456,Marche,95,380.0,0.023019142234068334
IT_04,40.658477314746705,8.92118134082988,Sardegna,69,500.0,0.011146110976496246
IT_05,43.14745216299037,10.827445346403167,Toscana,103,380.0,0.024957596316937242
IT_06,37.7824910883572,13.351647445404458,Sicilia,131,220.0,0.02116145707131896
IT_07,45.55205968792697,9.321191144026763,Lombardia,322,380.0,0.09752847104434215
IT_08,41.12667817506404,14.201693375258115,Campania,172,380.0,0.034730635651401345
IT_09,41.81987258667087,12.714689748212244,Lazio,190,500.0,0.038365237056780556
IT_10,44.36018091254059,12.128623555803015,Emilia-Romagna,113,380.0,0.027380663920523383
IT_11,40.786046515492444,16.798058263098035,Puglia,123,380.0,0.01986915434940635
IT_12,45.928214308800925,13.360334838867296,Friuli,100,380.0,0.03028834504482675
IT_13,37.37560777983473,14.767086346864936,Sicilia,158,380.0,0.025522978757774012
IT_14,41.32726347974679,15.295335582811383,Molise,248,380.0,0.05007673047411357
IT_15,44.423534917157305,7.610324150015704,Piemonte,97,380.0,0.023503755754785558
IT_16,44.952607932218896,10.63115520001912,Emilia-Romagna,160,380.0,0.038769081657378246
IT_17,45.675267031800665,10.108433301594008,Lombardia,236,380.0,0.07148049430579113
IT_18,45.830841034815165,12.318623581068037,Veneto,155,380.0,0.046946934819481465
IT_19,42.283308128568684,13.96162880001904,Abruzzo,112,500.0,0.022615297633470643
IT_20,39.11225392689652,16.54546033237571,Calabria,117,380.0,0.018899927307971895
IT_21,40.42603921837333,17.948402866476002,Puglia,81,400.0,0.013084565059365156
IT_22,44.01645772891895,10.245130417706322,Emilia-Romagna,116,380.0,0.028107584201599225
IT_23,45.25813044669857,7.579601460862062,Piemonte,196,380.0,0.05936515628786044
IT_24,46.5177616511355,11.383999819772297,Trentino,97,220.0,0.02937969469348195
IT_25,45.70074399946578,8.553048982444572,Lombardia,186,380.0,0.05633632178337776
IT_26,44.02037366718128,11.255281293067206,Emilia-Romagna,154,380.0,0.037315241095226555
IT_27,42.703079893837085,12.142284198914277,Umbria,140,380.0,0.028269122041838304
IT_28,38.16405605272496,15.54987110647222,Calabria,68,380.0,0.01098457313625717
IT_29,39.41215270289118,8.884697974580014,Sardegna,79,380.0,0.012761489378887006
