time,peak_mw,min_mw,avg_mw
2013-01-31,49285.395585622886,29710.575558072265,41259.96796717286
2013-02-28,49418.44611639192,30345.401910039225,41552.85704663672
2013-03-31,47751.02171850911,29716.29162709909,39282.503248675945
2013-04-30,43763.39418452044,28120.948641632465,36543.22068804257
2013-05-31,40948.93156098893,27652.85010801423,35695.80654666492
2013-06-30,42675.17069948985,27753.728902557956,35818.65170014534
2013-07-31,45808.79650255183,28221.56013798429,38521.41070038335
2013-08-31,45378.23623039631,27734.60451653736,37438.31478494848
2013-09-30,42614.167312138045,27804.31679882532,36053.60114374996
2013-10-31,41228.02742693329,27919.398951138726,35828.82287291966
2013-11-30,46920.88948765925,29266.69378372035,38183.22262045896
2013-12-31,48397.344177327774,29659.830024409683,40291.86241165123
