name,x,y,n_substations,max_voltage_kv
AUST,13.73767113402062,47.54940721649484,97,400.0
CALA,16.314228571428572,39.12759285714286,14,380.0
CNOR,11.656464705882353,43.3572,34,380.0
CSUD,13.649446153846153,41.63695076923077,65,500.0
FRAN,3.188187442922374,46.86258139269406,876,400.0
GREC,23.08249230769231,39.412748717948716,39,400.0
MONT,19.14285,42.767325,12,500.0
NORD,10.042219838056681,45.42912145748988,247,400.0
SARD,8.805094444444444,39.95075555555556,18,500.0
SICI,14.2383125,37.57940416666667,24,380.0
SLOV,14.902022727272726,46.19198181818182,22,400.0
SUD,16.74826206896552,40.85303103448276,29,400.0
SVIZ,8.157699487179487,46.79926256410256,195,400.0
