name,bus0,bus1,n_lines,voltage_kv,length_km,total_circuits,s_nom,x
CALA_SUD,CALA,SUD,3,380.0,21.456666666666667,0.0,4500,0.002145666666666667
CNOR_CSUD,CNOR,CSUD,19,380.0,54.83789473684211,0.0,28500,0.005483789473684211
CNOR_NORD,CNOR,NORD,14,380.0,43.51142857142857,3.0,21000,0.004351142857142857
CSUD_CALA,CSUD,CALA,2,380.0,143.44,0.0,3000,0.014344
CSUD_CNOR,CSUD,CNOR,10,380.0,55.13099999999999,2.0,15000,0.0055131
CSUD_SUD,CSUD,SUD,13,380.0,35.06461538461538,0.0,19500,0.003506461538461538
NORD_CNOR,NORD,CNOR,14,220.0,19.513571428571428,0.0,7000,0.001951357142857143
SUD_CALA,SUD,CALA,7,150.0,39.38857142857143,0.0,1400,0.003938857142857143
SUD_CSUD,SUD,CSUD,5,380.0,22.492,0.0,7500,0.0022492000000000002
